filter1,size2,env_id,noop_max,discount_factor,units6,pre_training_start,filter2,strides3,update_target_freq,units5,units2,pre_iterations,filter4,strides4,double,episodes,batch_size,strides2,frame_stack,strides1,train_freq,eval_freq,units3,size4,optimizer,pre_train_freq,units7,max_size,units4,size1,iterations,size3,grad_clip,filter3,units8,eval_episodes,training_start,units1,steps,epsilon,Mean Reward 100 episdoes,episode,learning rate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21902048,3.9316634838709668,19.55,11900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22076371,3.881053580645161,19.44,12000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22247141,3.8314751935483864,19.61,12100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22421379,3.7808899677419343,19.38,12200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22593882,3.730808451612902,19.51,12300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22768986,3.6799718064516123,19.24,12400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22941358,3.6299283225806445,19.55,12500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23115552,3.5793558709677415,19.55,12600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23287697,3.52937829032258,19.58,12700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23461751,3.4788464838709667,19.45,12800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23638799,3.4274454516129023,19.24,12900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23812786,3.376933096774193,19.48,13000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23984276,3.327145677419354,19.66,13100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24157323,3.2769062258064507,19.63,13200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24327314,3.227553999999999,19.74,13300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24496753,3.178362032258063,19.65,13400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24667879,3.1286802903225794,19.74,13500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24839644,3.078813032258063,19.64,13600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25010126,3.029318258064515,19.79,13700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25181661,2.979517774193548,19.76,13800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25350972,2.9303629677419343,19.93,13900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25521940,2.880727096774193,19.82,14000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25690751,2.831717451612902,19.82,14100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25859142,2.7828297419354833,20.0,14200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26029996,2.7332269677419347,19.74,14300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26198498,2.6843070322580638,20.0,14400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26370689,2.6343160967741928,19.76,14500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26540496,2.58501729032258,19.71,14600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26709457,2.5359640967741925,19.97,14700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26877266,2.4872453548387083,19.93,14800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27043791,2.438899387096773,20.15,14900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27210390,2.390531935483871,20.03,15000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27377433,2.342035580645161,20.0,15100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27543058,2.293950903225806,20.22,15200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27711005,2.245192096774193,20.02,15300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27878804,2.1964762580645147,20.05,15400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28050188,2.146719612903224,19.74,15500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28218715,2.0977924193548385,19.99,15600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28384415,2.0496859677419352,20.15,15700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28553916,2.0004759999999986,19.89,15800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28719301,1.9524609999999991,20.34,15900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28885918,1.9040883225806449,20.19,16000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29055166,1.8549518064516115,20.18,16100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29222218,1.8064528387096772,20.11,16200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29386967,1.7586224838709668,20.35,16300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29553060,1.7104019354838698,20.12,16400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29719390,1.662112580645161,20.23,16500,0.0001
